Subject,Cat #,Section,Code,Instructor
CMM,535,101,CMM 535 101,"Bear,David G"
CMM,535,401,CMM 535 401,"Bear,David G"
CMM,560,101,CMM 560 101,"Gordon,Herman"
CMM,560,401,CMM 560 401,"Gordon,Herman"
COMM,101,101,COMM 101 101,"Carter,Shelby Noelle"
COMM,101,101,COMM 101 101,"Choi,Yunjin"
COMM,101,101,COMM 101 101,"Emmons,William Ware"
COMM,101,101,COMM 101 101,"Farzinpour,Michael John"
COMM,101,101,COMM 101 101,"Laybon,Ashley Kealani"
COMM,101,101,COMM 101 101,"Tusing,Kyle J"
COMM,101,401,COMM 101 401,"Carter,Shelby Noelle"
COMM,101,401,COMM 101 401,"Choi,Yunjin"
COMM,101,401,COMM 101 401,"Emmons,William Ware"
COMM,101,401,COMM 101 401,"Farzinpour,Michael John"
COMM,101,401,COMM 101 401,"Laybon,Ashley Kealani"
COMM,101,401,COMM 101 401,"Tusing,Kyle J"
COMM,201,101,COMM 201 101,"Barbati,Juliana Lucia"
COMM,201,101,COMM 201 101,"Casertano,Carolyn"
COMM,201,401,COMM 201 401,"Barbati,Juliana Lucia"
COMM,201,401,COMM 201 401,"Casertano,Carolyn"
COMM,209,101,COMM 209 101,"Nemcova,Katerina"
COMM,209,101,COMM 209 101,"Rains,Stephen A"
COMM,209,401,COMM 209 401,"Nemcova,Katerina"
COMM,209,401,COMM 209 401,"Rains,Stephen A"
COMM,228,101,COMM 228 101,"Bonito,Joseph A"
COMM,228,101,COMM 228 101,"Choi,Eunjoo"
COMM,228,401,COMM 228 401,"Bonito,Joseph A"
COMM,228,401,COMM 228 401,"Choi,Eunjoo"
COMM,300,101,COMM 300 101,"Floyd,Kory"
COMM,300,101,COMM 300 101,"Gahler,Heather"
COMM,300,101,COMM 300 101,"Gim,Hyeonchang"
COMM,300,401,COMM 300 401,"Floyd,Kory"
COMM,300,401,COMM 300 401,"Gahler,Heather"
COMM,300,401,COMM 300 401,"Gim,Hyeonchang"
COMM,301,101,COMM 301 101,"Dajches,Leah"
COMM,301,401,COMM 301 401,"Dajches,Leah"
COMM,309,101,COMM 309 101,"Gahler,Heather"
COMM,309,101,COMM 309 101,"Stevens Aubrey,Jennifer L"
COMM,309,401,COMM 309 401,"Gahler,Heather"
COMM,309,401,COMM 309 401,"Stevens Aubrey,Jennifer L"
COMM,311,101,COMM 311 101,"Yan,Kun"
COMM,311,401,COMM 311 401,"Yan,Kun"
COMM,318,101,COMM 318 101,"Choi,Eunjoo"
COMM,318,101,COMM 318 101,"Nemcova,Katerina"
COMM,318,101,COMM 318 101,"Rains,Stephen A"
COMM,318,401,COMM 318 401,"Choi,Eunjoo"
COMM,318,401,COMM 318 401,"Nemcova,Katerina"
COMM,318,401,COMM 318 401,"Rains,Stephen A"
COMM,402,101,COMM 402 101,"Harwood,James T"
COMM,402,401,COMM 402 401,"Harwood,James T"
COMM,410,101,COMM 410 101,"Barbati,Juliana Lucia"
COMM,410,101,COMM 410 101,"Kenski,Kate M"
COMM,410,401,COMM 410 401,"Barbati,Juliana Lucia"
